-2.06,16219225.0,1199.28,0.57,19451392158.0,16219225.0,516583000.0,-3.5,10416.37938005,1224.34,1187.7,1186.77,1187.97
-2.04,16219275.0,1197.69,0.46,19425663475.0,16219275.0,515657000.0,-3.62,10475.79664208,1223.98,1188.13,1187.5,1187.5
-1.68,16219275.0,1196.91,0.41,19413012440.0,16219275.0,515550000.0,-3.69,10442.63027279,1223.44,1193.6,1193.5,1193.6
-1.06,16219312.0,1199.51,0.65,19455226937.0,16219312.0,521711000.0,-3.48,10579.96268695,1222.98,1186.18,1184.97,1186.18
-1.48,16219312.0,1191.89,0.02,19331635780.0,16219312.0,532266000.0,-4.1,11180.03811915,1220.16,1171,1168.06,1169.8
-2.12,16219337.0,1179.34,-1.02,19128112898.0,16219337.0,541614000.0,-5.12,11661.00664408,1217.03,1153,1150.01,1152.99
-2.11,16219337.0,1176.04,-1.29,19074589085.0,16219337.0,551049000.0,-5.4,11994.73493613,1215.48,1168.87,1165.89,1165.9
-1.95,16219362.0,1175.49,-1.33,19065697837.0,16219362.0,560054000.0,-5.46,12268.68112389,1214.00,1159.99,1158.3,1156.9
-2.06,16219362.0,1173.43,-1.5,19032285952.0,16219362.0,562047000.0,-5.63,12981.28318889,1210.12,1138.43,1136.01,1135.04
-3.14,16219362.0,1160.46,-2.59,18821920827.0,16219362.0,570158000.0,-6.68,13684.39745241,1205.76,1141.84,1134.05,1141.95
-3.28,16219400.0,1157.63,-2.82,18776064022.0,16219400.0,576925000.0,-6.92,13782.87541348,1205.05,1139.98,1138.49,1138.5
-2.82,16219400.0,1152.44,-3.27,18691885336.0,16219400.0,584037000.0,-7.35,13978.25544738,1203.53,1139.8,1138.68,1138.69
-1.57,16219437.0,1160.48,-2.6,18822332250.0,16219437.0,595561000.0,-6.72,14127.24157087,1202.54,1154.96,1153.75,1154.38
-0.38,16219437.0,1170.86,-1.74,18990690006.0,16219437.0,604182000.0,-5.91,14324.17187093,1202.01,1170.06,1170,1170.06
0.15,16219500.0,1174.59,-1.44,19051262505.0,16219500.0,615103000.0,-5.64,14634.78670840,1201.21,1154.68,1151.95,1154.69
1.36,16219500.0,1176.54,-1.29,19082890530.0,16219500.0,622315000.0,-5.52,14755.40381094,1200.85,1168.17,1167.43,1168.18
1.78,16219512.0,1178.7,-1.11,19117938794.0,16219512.0,624908000.0,-5.38,14777.66097470,1200.66,1173.47,1172.01,1172
2.66,16219512.0,1185.84,-0.52,19233746110.0,16219512.0,627893000.0,-4.83,15175.16470908,1200.01,1179.32,1177.71,1177.71
